#List of every sound and if it should be synced;;;
#Eventpath;Should be synced;Should ignore subroot;Sound radius
;;;
event:/creature/bird_small/flap;false;false;0
event:/creature/bird_small/idle;false;false;0
event:/creature/biter/bite_1;false;false;0
event:/creature/biter/idle_1;false;false;0
event:/creature/bleeder/attach_loop;false;false;0
event:/creature/bleeder/detach;false;false;0
event:/creature/bleeder/idle;false;false;0
event:/creature/bleeder/pain;false;false;0
event:/creature/bleeder/punch;false;false;0
event:/creature/blood_kelp_biter/bite;false;false;0
event:/creature/blood_kelp_biter/idle;false;false;0
event:/creature/bloodcrawler/attack;false;false;0
event:/creature/bloodcrawler/idle;false;false;0
event:/creature/boneshark/bite;false;false;0
event:/creature/boneshark/idle;false;false;0
event:/creature/boneshark/roar;false;false;0
event:/creature/crabsnake/alert;false;false;0
event:/creature/crabsnake/attack;false;false;0
event:/creature/crabsnake/attack_cine;false;false;0
event:/creature/crabsnake/idle_swim;false;false;0
event:/creature/crabsquid/attack;false;false;0
event:/creature/crabsquid/charge;false;false;0
event:/creature/crabsquid/emp;false;false;0
event:/creature/crabsquid/idle;false;false;0
event:/creature/crash/angry_loop;false;false;0
event:/creature/crash/attack;false;false;0
event:/creature/crash/die;false;false;0
event:/creature/crash/idle;false;false;0
event:/creature/crash/inflate;false;false;0
event:/creature/crash/open_pod;false;false;0
event:/creature/crawler/attack;false;false;0
event:/creature/crawler/idle;false;false;0
event:/creature/crawler/jump;false;false;0
event:/creature/cute_fish/command_follow;false;false;0
event:/creature/cute_fish/command_stay;false;false;0
event:/creature/cute_fish/death;false;false;0
event:/creature/cute_fish/flinch;false;false;0
event:/creature/cute_fish/idle;false;false;0
event:/creature/cute_fish/interact_feed;false;false;0
event:/creature/cute_fish/interact_hifive;false;false;0
event:/creature/cute_fish/interact_magic;false;false;0
event:/creature/cute_fish/interact_petting;false;false;0
event:/creature/cute_fish/say_bye;false;false;0
event:/creature/cute_fish/tease_1;false;false;0
event:/creature/cute_fish/tease_2;false;false;0
event:/creature/enzyme_cure;false;false;0
event:/creature/garry/idle;false;false;0
event:/creature/gasopod/idle;false;false;0
event:/creature/gasopod/pod_burst;false;false;0
event:/creature/gasopod/pod_release;false;false;0
event:/creature/ghostleviathan/bite;false;false;0
event:/creature/ghostleviathan/charge;false;false;0
event:/creature/ghostleviathan/idle;false;false;0
event:/creature/ghostray/idle;false;false;0
event:/creature/glowray/sing;false;false;0
event:/creature/jumper/idle;false;false;0
event:/creature/larva/attach;false;false;0
event:/creature/larva/idle;false;false;0
event:/creature/larva/pain;false;false;0
event:/creature/lavalizard/bite;false;false;0
event:/creature/lavalizard/charge;false;false;0
event:/creature/lavalizard/lava_dive;false;false;0
event:/creature/lavalizard/roar;false;false;0
event:/creature/lavalizard/spit;false;false;0
event:/creature/lavalizard/spit_hit;false;false;0
event:/creature/lavalizard/wound;false;false;0
event:/creature/magistrate/cin_baby_interact;false;false;0
event:/creature/magistrate/cin_emp_appear;false;false;0
event:/creature/magistrate/cin_emp_sand_clear;false;false;0
event:/creature/magistrate/cin_landing;false;false;0
event:/creature/magistrate/encounter_1;false;false;0
event:/creature/magistrate/encounter_2;false;false;0
event:/creature/magistrate/encounter_3;false;false;0
event:/creature/magistrate/encounter_4;false;false;0
event:/creature/magistrate/enzyme_ball_drop;false;false;0
event:/creature/magistrate/enzyme_spray;false;false;0
event:/creature/magistrate/face_loop;false;false;0
event:/creature/magistrate/swimloop;false;false;0
event:/creature/magistrate/telepathy_1;false;false;0
event:/creature/magistrate/telepathy_2;false;false;0
event:/creature/magistrate/telepathy_3;false;false;0
event:/creature/mesmer/attack;false;false;0
event:/creature/mesmer/mesmerize_loop;false;false;0
event:/creature/oculus/idle;false;false;0
event:/creature/peeper/chirp;false;false;0
event:/creature/ray/sing;false;false;0
event:/creature/reaper/attack_player;false;false;0
event:/creature/reaper/attack_player_claw;false;false;0
event:/creature/reaper/attack_seamoth;false;false;0
event:/creature/reaper/idle;false;false;0
event:/creature/reefback/idle;false;false;0
event:/creature/robocrawler/attack;false;false;0
event:/creature/robocrawler/idle;false;false;0
event:/creature/robocrawler/jump;false;false;0
event:/creature/sandshark/alert;false;false;0
event:/creature/sandshark/attack;false;false;0
event:/creature/sandshark/bite;false;false;0
event:/creature/sandshark/burrow;false;false;0
event:/creature/sandshark/death;false;false;0
event:/creature/sandshark/idle;false;false;0
event:/creature/sandshark/move_sand;false;false;0
event:/creature/sandshark/pain;false;false;0
event:/creature/seadragon/attack_mech_cin;false;false;0
event:/creature/seadragon/attack_player_bite;false;false;0
event:/creature/seadragon/attack_player_claw;false;false;0
event:/creature/seadragon/fireattack_loop;false;false;0
event:/creature/seadragon/idle;false;false;0
event:/creature/shocker/bite;false;false;0
event:/creature/shocker/idle_loop;false;false;0
event:/creature/shocker/shock;false;false;0
event:/creature/spike_plant/player_hit;false;false;0
event:/creature/spine_eel/bite;false;false;0
event:/creature/spine_eel/idle;false;false;0
event:/creature/spine_eel/roar;false;false;0
event:/creature/tred/attack_down_nostomp;false;false;0
event:/creature/tred/idle;false;false;0
event:/creature/tred/shit_from_ass;false;false;0
event:/creature/tred/step;false;false;0
event:/creature/tred/stomp;false;false;0
event:/creature/trident/bite;false;false;0
event:/creature/trident/charge;false;false;0
event:/creature/trident/roar;false;false;0
event:/creature/trident/tooth_break;false;false;0
event:/creature/trident/wound;false;false;0
event:/creature/warper/idle;false;false;0
